mean_favorite_count,sum_favorite_count,mean_retweet_count,sum_retweet_count,mean_display_text_width,sum_display_text_width,n,code
5.5,11,3,6,98,196,2,TS
0.5,1,0,0,76.5,153,2,TS
3,6,1,2,82,164,2,TS
0,0,0,0,33.666666666666664,101,3,TS
1,2,0,0,78,156,2,TS
1.6666666666666667,5,0,0,105.33333333333333,316,3,TS
2,4,0,0,85,170,2,TS
0.5,1,0,0,35,70,2,TS
0,0,0,0,47.5,95,2,TS
0.3333333333333333,1,0,0,39.333333333333336,118,3,TS
0.5,1,0,0,43.5,87,2,TS
0.5,1,0,0,43.5,87,2,TS
0,0,0,0,65,130,2,TS
3,6,0,0,88,176,2,TS
2,6,0,0,82.66666666666667,248,3,TS
0,0,0,0,51.5,103,2,TS
0.5,1,0,0,58,116,2,TS
0.5,1,0,0,58,116,2,TS
1,2,0,0,52.5,105,2,TS
0.3333333333333333,1,0,0,74.66666666666667,224,3,TS
1.5,3,0.5,1,86,172,2,TS
0.5,1,0,0,116,232,2,TS
0,0,0,0,92,92,1,TS
0.5,1,0,0,67,134,2,TS
1.1666666666666667,7,0,0,43.166666666666664,259,6,TS
4,8,2,4,87.5,175,2,TS
0.75,3,0,0,113.25,453,4,SB
0,0,0,0,70,70,1,TS
0.3333333333333333,1,0,0,88.33333333333333,265,3,TS
3,6,1,2,97.5,195,2,TS
0.5,1,0,0,47.5,95,2,TS
2,4,1,2,126,252,2,TS
1,2,0,0,43.5,87,2,TS
1.2222222222222223,11,0.5555555555555556,5,117,1053,9,SB
0.5,1,0,0,44.5,89,2,TS
0.5,2,0,0,108,432,4,SB
1,2,0,0,131.5,263,2,SB
1.6666666666666667,5,0.3333333333333333,1,113.66666666666667,341,3,SB
0.2857142857142857,2,0,0,79.57142857142857,557,7,SB
1,5,0,0,76.6,383,5,SB
0.4,2,0,0,63.6,318,5,SB
2.5,5,1.5,3,78,156,2,SB
0.6666666666666666,4,0.16666666666666666,1,68.83333333333333,413,6,SB
3,6,1,2,86.5,173,2,SB
3,6,1,2,83,166,2,SB
0,0,0,0,42.5,85,2,TS
2,4,0,0,123.5,247,2,SB
2,4,0,0,113.5,227,2,SB
0.75,3,0,0,81.25,325,4,SB
0,0,0,0,101.6,508,5,SB
3.3333333333333335,10,1.3333333333333333,4,103.66666666666667,311,3,SB
