student_ID,course_ID,gender,enrollment_reason,enrollment_status,final_grade,time_spent
85889,BioA-S116-01,M,Learning Preference of the Student,Approved/Enrolled,7.580645161,297.5167
86067,BioA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,88.78494624,516.7003
86110,BioA-S116-01,M,Learning Preference of the Student,Approved/Enrolled,75.11182796,3954.2997
86113,BioA-S116-01,F,Other,Approved/Enrolled,75.0827957,63.6837
86130,BioA-S116-01,F,Other,Approved/Enrolled,72.84946237,142.7337
86202,BioA-S116-01,M,Credit Recovery,Approved/Enrolled,45.76666667,1391.0673
86216,BioA-S116-01,M,Scheduling Conflict,Approved/Enrolled,92.94301075,1855.9338
86580,BioA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,83.16666667,1076.5339
87081,BioA-S116-01,M,Other,Approved/Enrolled,6.693548387,181.5999
87552,BioA-S116-01,F,Scheduling Conflict,Approved/Enrolled,90.08064516,1496.8001
88568,BioA-S116-01,M,Other,Approved/Enrolled,36.57419355,1329.3997
89300,BioA-S116-01,M,Scheduling Conflict,Approved/Enrolled,61.3172043,1132.1503
90253,BioA-S116-01,F,Other,Approved/Enrolled,64.23548387,1803.8334
90430,BioA-S116-01,F,Credit Recovery,Approved/Enrolled,78.86666667,2252.5
90466,BioA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,82.33333333,658.4165
90995,BioA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,0,13.9333
91066,BioA-S116-01,F,Other,Approved/Enrolled,36.34408602,222.9831
91067,BioA-S116-01,F,Other,Approved/Enrolled,99.75806452,2920.9838
91300,BioA-S116-01,F,Scheduling Conflict,Approved/Enrolled,96.26344086,1311.9998
91351,BioA-S116-01,F,Other,Approved/Enrolled,6.747311828,206.2335
91611,BioA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,92.90322581,616.3672
91624,BioA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,78.54946237,583.1167
92152,BioA-S116-01,F,Other,Approved/Enrolled,93.48064516,3214.3998
92510,BioA-S116-01,M,Other,Approved/Enrolled,91.90860215,295.5494
92606,BioA-S116-01,M,Learning Preference of the Student,Approved/Enrolled,5.698924731,10.1498
