mean_favorite_count,mean_retweet_count,mean_status_count,mean_followers_count,mean_friends_count,sum_display_text_width,n,code
0.5,0,20911,2071.5,2276.5,95,2,TS
2,1,12548,4157,3354.5,252,2,TS
1,0,20928.5,2201.5,2272,87,2,TS
1.2222222222222223,0.5555555555555556,13140.222222222223,1395.7777777777778,1466.5555555555557,1053,9,SB
0.5,0,44000.5,8332.5,7497,89,2,TS
0.5,0,23343,2278,2604,432,4,SB
1,0,20744.5,2044,2204,263,2,SB
1.6666666666666667,0.3333333333333333,47284.666666666664,4141.666666666667,2720.3333333333335,341,3,SB
0.2857142857142857,0,43402.57142857143,12268.142857142857,8095.857142857143,557,7,SB
1,0,42490.2,7272.6,4835.4,383,5,SB
0.4,0,42441.4,10837.2,7256.8,318,5,SB
2.5,1.5,27940.5,8509,7595,156,2,SB
0.6666666666666666,0.16666666666666666,31852.5,2656,432.5,413,6,SB
3,1,31784.5,2758,468,173,2,SB
3,1,19912.5,1933.5,2011,166,2,SB
0,0,32375.5,2789.5,710.5,85,2,TS
2,0,34168,3913.5,1218,247,2,SB
2,0,4674.5,1706.5,1899,227,2,SB
0.75,0,33794,3437.75,1115.25,325,4,SB
0,0,30243,3882.6,1972.2,508,5,SB
3.3333333333333335,1.3333333333333333,15380.666666666666,5144.333333333333,4216.666666666667,311,3,SB
1.5,0.5,15389,6459,4937.5,271,2,SB
4,0.5,1553,551.5,542.5,236,2,SB
2,0,14388.5,4364.5,4165.5,194,2,SB
2,0.25,31856,2743.5,439,432,4,SB
2,0.25,25920,2331.25,1210.5,443,4,SB
0,0.5,14388.5,4364.5,4165.5,80,2,TS
2.6666666666666665,0.6666666666666666,21625.666666666668,2008,766.3333333333334,267,3,SB
2.5,0,2172.5,2616.5,1338.5,177,2,SB
1.5714285714285714,0.5714285714285714,28909.714285714286,2598,698,872,7,SB
0.75,0.25,19969.5,1967.75,990,404,4,SB
1,0.6,27116.8,2823.2,538.6,436,5,SB
0.75,0.25,33919,3037,791,353,4,SB
2,0.3333333333333333,21955,2078.3333333333335,444,301,3,SB
1.25,0.5,19699.5,2456.5,971.5,413,4,SB
2.25,0.5,32623,2971.5,521,322,4,SB
1.6,0.6,28334.4,2544.4,821,505,5,SB
0.5,0,15780,5122.5,5050,177,2,TS
1,0.5,16549.5,6933.5,4041.5,136,2,TS
1,0.6666666666666666,22354,2173,586,310,3,SB
1,0.5,6579,2177,2614,228,2,SB
1,0.3333333333333333,1644,537.3333333333334,613.6666666666666,286,3,SB
1.6666666666666667,0.6666666666666666,1644,537.3333333333334,613.6666666666666,287,3,SB
3.5,0,27818.5,17420.5,13648.5,252,2,SB
2.6666666666666665,0,3687.3333333333335,922.3333333333334,1252.6666666666667,350,3,SB
2.5,0,34969,3508,1551.5,173,2,SB
2,0,3953.5,1238,2089.5,225,2,SB
4.5,0,22664.5,4534,2129.5,113,2,TS
4.5,0,13902,6458.5,3216.5,98,2,TS
1,0,21732,6029.5,5481.5,104,2,TS
4.333333333333333,0.3333333333333333,6103,47877.666666666664,6034.333333333333,303,3,SB
2.5,0,18061.5,4643,4657.5,102,2,TS
2,1,3068,1472.5,1114.5,163,2,SB
1,0.5,27052,3791,2657.5,173,2,SB
1.8,0.8,8814.2,2928.8,1801.6,645,5,SB
3,1.6666666666666667,9414,4873.333333333333,1470,390,3,SB
2.5,1,22664.5,4534,2129.5,418,4,SB
0.6666666666666666,0,6833,1708.6666666666667,1663.3333333333333,122,3,TS
5.5,5.5,5113.5,5454.5,993,263,2,SB
0.5,0,6013.5,1811,2995.5,212,2,SB
1,0,15633.5,4609,4799,145,2,TS
0,0,3861.5,673,1409.5,100,2,SB
1.4,0.2,2105,630.4,599.2,613,5,SB
2,0.6666666666666666,3102.3333333333335,853.6666666666666,809.3333333333334,412,3,SB
4,2.5,12745.5,6344.5,3150,292,4,SB
6.5,3.5,3287.5,1039,1072,143,2,SB
0.5,0,3530,14359,1601,123,2,TS
5.333333333333333,3.3333333333333335,23202,6713,897,313,3,SB
4,1.5,5043,3151.5,1267.5,246,2,SB
3.5,1.5,34536.5,5358.5,586.5,226,2,SB
1.6666666666666667,0,5450.333333333333,3011.3333333333335,578,261,3,SB
0,0,9484,2961.6666666666665,2685,170,3,TS
2,0,4248,1478.6666666666667,687,298,3,SB
5.5,1.5,14746,4634.5,4205,238,2,SB
3,0,39370,3592,3749,115,1,SB
5.5,3,15368.25,4707,3420,423,4,SB
1.4,1,10738,4254.2,2302.2,648,5,SB
1.5,1.25,25882.25,5018,2551.25,476,4,SB
