mean_favorite_count,mean_retweet_count,sum_display_text_width,n,code
2.5,1,221,2,TS
2.5,1,209,2,TS
0,0,139,2,TS
2,0.5,105,2,TS
0,0,133,2,TS
0,0.5,165,2,TS
0,0.5,159,2,TS
1,0,129,2,TS
4.5,3.5,283,2,TS
0.5,0,168,2,TS
1,1.5,201,2,TS
2,0.5,123,2,TS
0,0,106,2,TS
1.5,0,373,4,TS
0.5,0,103,2,TS
0,0,85,2,TS
1,0,146,2,TS
0.5,0,105,2,TS
0.5,0,131,2,TS
0,0,111,2,TS
0,0,104,3,TS
1.3333333333333333,0.3333333333333333,293,3,TS
1.4,0.2,431,5,TS
2.5,0.5,196,2,TS
1,0,199,3,TS
0.3333333333333333,0,186,3,TS
0.5,0,101,2,TS
0,0,59,2,TS
0.3333333333333333,0,160,3,TS
0.5,0,152,2,TS
1.5,0,142,2,TS
0.5,0.5,228,2,TS
1,0,143,2,TS
2.5,0,207,2,TS
0.5,0,116,2,TS
1,0,130,2,TS
0.6666666666666666,0,181,3,TS
1,0,70,2,TS
2.5,0,180,2,TS
2.5,0,151,2,TS
1.5,0,124,2,TS
3,0,72,1,TS
1.5,0,106,2,TS
1.3333333333333333,0,153,3,TS
2.3333333333333335,0,185,3,TS
0,0,94,2,TS
1,0,100,2,TS
2.5,1,275,2,SB
0.5,0,72,2,TS
1,0,228,3,SB
0.5,0,183,2,SB
1.5,0.5,242,2,SB
1,0,198,2,SB
2,0.5,223,2,SB
0.3333333333333333,0,288,3,SB
0.8333333333333334,0.16666666666666666,673,6,SB
1.3333333333333333,0.3333333333333333,650,6,SB
4,2,275,2,SB
3,0.5,181,2,SB
2,0,101,2,TS
2.3333333333333335,0.3333333333333333,371,3,SB
2,0.3333333333333333,373,3,SB
1,0,211,2,SB
3.5,1.5,241,2,SB
2.3333333333333335,1,275,3,SB
1,0,222,2,SB
2,0.5,264,2,SB
3,0,311,3,SB
0.5,0.25,318,4,SB
1,0,172,2,SB
2,0,86,2,TS
0,0,195,2,SB
0.75,0,421,4,SB
0.5,0,139,2,SB
1.5,0,165,2,SB
0.5,0,218,2,SB
0.5,0,144,2,SB
1,0,351,4,SB
1.1428571428571428,0.14285714285714285,759,7,SB
2,1,249,2,SB
3.5,1,210,2,SB
2.5,0.5,101,2,TS
1.5,0.5,193,2,SB
4.5,1,220,2,SB
4.5,1,216,2,SB
2,0,226,2,SB
0.5,0,243,2,SB
0.6666666666666666,0,317,3,SB
5.666666666666667,2,408,3,SB
5,1.6666666666666667,376,3,SB
4.333333333333333,1.3333333333333333,304,3,SB
4.666666666666667,1.6666666666666667,403,3,SB
0,0,199,3,TS
1.5,0.5,263,2,SB
1.5,0.5,189,2,SB
1.5,0.5,271,2,SB
1.5,0.5,222,2,SB
2.1666666666666665,1.1666666666666667,619,6,SB
3.5,3,191,2,SB
2.3333333333333335,1.1666666666666667,523,6,SB
3,2,349,3,SB
1.3333333333333333,0,313,3,SB
0,1,90,1,SB
0,0,166,2,TS
2.1666666666666665,0.16666666666666666,643,6,SB
1.5,0.5,210,2,SB
2,1.5,226,2,SB
1.5,0,162,2,SB
3.5,1.5,172,2,SB
1,0.3333333333333333,260,3,SB
0,0,54,1,TS
3,0.5,158,2,TS
3,0.5,161,2,TS
3,0.5,151,2,TS
0,0,204,2,TS
1.5,0,177,2,SB
3,2,230,2,SB
1.5,0.5,267,2,SB
1,1,177,2,SB
1.0909090909090908,0.09090909090909091,1319,11,SB
1,0,1204,10,SB
0.8571428571428571,0,832,7,SB
0.75,0,917,8,SB
0.3333333333333333,0,731,6,SB
0,0,178,3,TS
0.75,0,861,8,SB
0.8333333333333334,0.16666666666666666,662,6,SB
0.6,0,601,5,SB
0.75,0,423,4,SB
0.3333333333333333,0,289,3,SB
2,0,58,1,SB
2,0.3333333333333333,335,3,SB
2.75,1.25,468,4,SB
1.6666666666666667,0.3333333333333333,315,3,SB
1.5,0,193,2,SB
0.3333333333333333,0,185,3,TS
0.5,0,77,2,TS
1,0,305,3,SB
0,0.5,164,2,TS
0,0.5,217,2,TS
0.5,1.5,196,2,TS
10,5.5,232,2,SB
9.5,5,244,2,SB
9,5.5,224,2,SB
9.5,5,153,2,TS
3.5,1.75,524,4,SB
0,0,82,2,TS
0.75,0.25,427,4,TS
2.5,0,136,2,TS
2,0,99,2,TS
2,0,178,2,SB
2.5,1,275,2,TS
1,0.5,206,2,SB
0,0,190,2,SB
0,0,113,1,SB
0.5,0,191,2,TS
2,0,252,2,SB
1,0.5,132,2,TS
1.5,0,98,2,TS
3.5,1.5,259,2,SB
1,0.5,195,2,SB
1,0,276,2,SB
1.3333333333333333,0.5,544,6,SB
0,0,57,1,TS
0.2857142857142857,0,736,7,SB
0,0,508,5,SB
0.3333333333333333,0,340,3,SB
0.09090909090909091,0.09090909090909091,931,11,SB
1,0,206,2,TS
1,0,255,2,SB
3,0.6666666666666666,368,3,SB
1,0.6666666666666666,208,3,SB
3,1,44,1,TS
6,3.5,210,2,TS
2,0,110,2,TS
1.5,0,121,2,TS
1,1,78,1,TS
2.5,0.5,178,2,SB
0.1111111111111111,0.1111111111111111,798,9,SB
2,1,280,2,TS
3,1,190,3,TS
0.5,0,107,2,SB
5.5,3,237,2,SB
3.5,2,173,2,SB
2,0.5,179,2,TS
0.3333333333333333,0,182,3,TS
2,0,233,2,SB
3,1,186,2,TS
4.75,2.5,344,4,SB
0.2222222222222222,0.1111111111111111,800,9,SB
2,0,194,2,TS
3,1,271,2,TS
0.5,0,99,2,TS
3.5,2,206,2,SB
4.5,2,261,2,SB
5.5,4,213,2,SB
5.5,4,163,2,TS
3,2.5,396,4,SB
3.3333333333333335,3.3333333333333335,318,3,SB
3.3333333333333335,0,327,3,SB
0.25,0,294,4,SB
0.5,0.5,180,2,TS
1,0,190,2,TS
1,0.5,138,2,TS
1,0,306,3,TS
0.3333333333333333,0.3333333333333333,255,3,TS
1.5,0,105,2,TS
0.75,0,237,4,TS
1.5,0,165,2,TS
0.4,0,475,5,SB
0,0,177,2,TS
0.3333333333333333,0.3333333333333333,249,3,SB
0.3333333333333333,0,232,3,TS
0.5,0,82,2,TS
0.5,0,147,2,TS
1.5,0,119,2,TS
1.3333333333333333,0,236,3,TS
1,0,141,2,TS
0.5,0,166,2,TS
0.5,0,288,4,SB
1.5,0,256,2,SB
0.5,0,66,2,TS
0,0,95,2,TS
1,0,70,2,TS
0.6,0.4,528,5,SB
0,0.3333333333333333,375,3,SB
0,0,371,3,SB
0.75,0.25,445,4,SB
1.5,0.5,168,2,SB
0.3333333333333333,0,340,3,SB
0.3333333333333333,0.3333333333333333,283,3,SB
0.5,0.5,224,2,SB
1,0.6666666666666666,381,3,SB
2,0.3333333333333333,284,3,SB
0.5,0,107,2,TS
1,0,103,2,TS
