student_id,course_id,gender,enrollment_reason,enrollment_status,final_grade,subject,semester,section,int,uv,percomp,tv,sum_discussion_posts,sum_n_words,overall_percent_earned,variability_percent_earned,n_with_100_pct
76998,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,40.2389328,AnPhA,S216,01,3.4,3.3333333333333335,4,3.5714285714285716,NA,NA,0.49823529411764705,0.3343494342016952,5
78164,AnPhA-S216-01,F,Learning Preference of the Student,Approved/Enrolled,76.104,AnPhA,S216,01,4.6,4,4,4.428571428571429,NA,NA,0.8188235294117646,0.1728827784659485,5
85248,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,94.8261328,AnPhA,S216,01,4.2,4,3.5,4.142857142857143,NA,NA,0.9573529411764706,0.043999499557743856,13
86268,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,93.5386672,AnPhA,S216,01,5,5,4,5,NA,NA,0.9794117647058823,0.03691365403423518,14
86942,AnPhA-S216-01,F,Scheduling Conflict,Approved/Enrolled,83.624,AnPhA,S216,01,5,4.666666666666667,5,4.857142857142857,NA,NA,0.8544117647058823,0.07707047050882239,12
88612,AnPhA-S216-01,F,Other,Approved/Enrolled,71.6544,AnPhA,S216,01,3.8,4,4,3.857142857142857,NA,NA,0.9537058823529412,0.07728343185933863,11
91313,AnPhA-S216-01,M,Scheduling Conflict,Approved/Enrolled,84.9536,AnPhA,S216,01,4.2,3.3333333333333335,3.5,3.857142857142857,NA,NA,0.9602941176470589,0.09686232467538898,15
91326,AnPhA-S216-01,F,Other,Approved/Enrolled,47.0544,AnPhA,S216,01,4.6,4.333333333333333,3,4.428571428571429,NA,NA,0.5400588235294118,0.22357662844503243,4
94246,AnPhA-S216-01,M,Course Unavailable at Local School,Approved/Enrolled,35.692,AnPhA,S216,01,4,4,4,4,NA,NA,0.7779705882352941,0.13178218318330767,6
94691,AnPhA-S216-01,M,Course Unavailable at Local School,Approved/Enrolled,10.6608,AnPhA,S216,01,4,4,3,4,NA,NA,0.3919411764705882,0.18407491388807573,5
94805,AnPhA-S216-01,F,Scheduling Conflict,Approved/Enrolled,87.3024,AnPhA,S216,01,5,4.333333333333333,3.5,4.714285714285714,NA,NA,0.964,0.06718294094044502,11
94846,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,70.4149328,AnPhA,S216,01,5,5,3.5,5,NA,NA,0.7672941176470588,0.13371346547626833,7
94872,AnPhA-S216-01,F,Other,Approved/Enrolled,69.6682672,AnPhA,S216,01,5,5,5,5,NA,NA,0.6531470588235294,0.21601688668469415,4
95014,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,95.6208,AnPhA,S216,01,5,5,5,5,NA,NA,0.9860588235294118,0.02776711444689573,13
95114,AnPhA-S216-01,F,Course Unavailable at Local School,Dropped,NA,AnPhA,S216,01,5,4.666666666666667,3,4.857142857142857,NA,NA,0.23926470588235293,0.3576401586178284,2
95283,AnPhA-S216-01,F,Other,Approved/Enrolled,91.3376,AnPhA,S216,01,5,3.6666666666666665,4,4.428571428571429,NA,NA,0.975,0.045071418310698975,15
95545,AnPhA-S216-01,F,Other,Approved/Enrolled,72.3008,AnPhA,S216,01,4.6,4.333333333333333,3,4.428571428571429,NA,NA,0.95,0.08594580262109805,11
95594,AnPhA-S216-01,M,Scheduling Conflict,Approved/Enrolled,40.4533328,AnPhA,S216,01,4.6,4.666666666666667,3.5,4.571428571428571,NA,NA,0.4426470588235294,0.17170529913362284,6
95601,AnPhA-S216-01,F,Other,Approved/Enrolled,84.4474672,AnPhA,S216,01,4.6,5,4.5,4.714285714285714,NA,NA,0.9592058823529411,0.06276817101649289,12
95618,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,66.7525328,AnPhA,S216,01,4.4,5,3.5,4.571428571428571,NA,NA,0.7911764705882353,0.2507076971598692,8
95620,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,72.888,AnPhA,S216,01,4.8,4.333333333333333,4,4.571428571428571,NA,NA,0.8055882352941176,0.15075147028884173,5
