student_id,course_id,gender,enrollment_reason,enrollment_status,final_grade,time_spent,subject,semester,section,int,uv,percomp,percentage_earned,sum_discussion_posts,sum_n_words
86942,AnPhA-S216-01,F,Scheduling Conflict,Approved/Enrolled,83.624,3101.5166,AnPhA,S216,01,5,4.666666666666667,5,0.8544117647058823,NA,NA
88612,AnPhA-S216-01,F,Other,Approved/Enrolled,71.6544,2258.9165,AnPhA,S216,01,3.8,4,4,0.9537058823529412,NA,NA
91313,AnPhA-S216-01,M,Scheduling Conflict,Approved/Enrolled,84.9536,3134.9666,AnPhA,S216,01,4.2,3.3333333333333335,3.5,0.9602941176470589,NA,NA
91326,AnPhA-S216-01,F,Other,Approved/Enrolled,47.0544,657.1668,AnPhA,S216,01,4.6,4.333333333333333,3,0.5400588235294118,NA,NA
94246,AnPhA-S216-01,M,Course Unavailable at Local School,Approved/Enrolled,35.692,1351.9003,AnPhA,S216,01,4,4,4,0.7779705882352941,NA,NA
94691,AnPhA-S216-01,M,Course Unavailable at Local School,Approved/Enrolled,10.6608,258.35,AnPhA,S216,01,4,4,3,0.3919411764705882,NA,NA
94805,AnPhA-S216-01,F,Scheduling Conflict,Approved/Enrolled,87.3024,4438.7165,AnPhA,S216,01,5,4.333333333333333,3.5,0.964,NA,NA
94846,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,70.4149328,764.1668,AnPhA,S216,01,5,5,3.5,0.7672941176470588,NA,NA
94872,AnPhA-S216-01,F,Other,Approved/Enrolled,69.6682672,3547.0667,AnPhA,S216,01,5,5,5,0.6531470588235294,NA,NA
95014,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,95.6208,2999.9832,AnPhA,S216,01,5,5,5,0.9860588235294118,NA,NA
95114,AnPhA-S216-01,F,Course Unavailable at Local School,Dropped,NA,546.85,AnPhA,S216,01,5,4.666666666666667,3,0.23926470588235293,NA,NA
95283,AnPhA-S216-01,F,Other,Approved/Enrolled,91.3376,2689.4502,AnPhA,S216,01,5,3.6666666666666665,4,0.975,NA,NA
95545,AnPhA-S216-01,F,Other,Approved/Enrolled,72.3008,4284.4003,AnPhA,S216,01,4.6,4.333333333333333,3,0.95,NA,NA
95594,AnPhA-S216-01,M,Scheduling Conflict,Approved/Enrolled,40.4533328,1419.8,AnPhA,S216,01,4.6,4.666666666666667,3.5,0.4426470588235294,NA,NA
95601,AnPhA-S216-01,F,Other,Approved/Enrolled,84.4474672,2915.5167,AnPhA,S216,01,4.6,5,4.5,0.9592058823529411,NA,NA
95618,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,66.7525328,3789.3996,AnPhA,S216,01,4.4,5,3.5,0.7911764705882353,NA,NA
95620,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,72.888,4013.3999,AnPhA,S216,01,4.8,4.333333333333333,4,0.8055882352941176,NA,NA
95634,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,76.5749312,4466.367,AnPhA,S216,01,NA,3.3333333333333335,3.5,0.8838529411764705,NA,NA
95915,AnPhA-S216-01,F,Learning Preference of the Student,Approved/Enrolled,74.1874672,2670.7669,AnPhA,S216,01,3.8,3,3,0.8029411764705883,NA,NA
95957,AnPhA-S216-01,M,Course Unavailable at Local School,Approved/Enrolled,67.9248,3542.5501,AnPhA,S216,01,5,5,5,0.7375294117647059,NA,NA
96228,AnPhA-S216-01,M,Scheduling Conflict,Approved/Enrolled,91.064,1747.1669,AnPhA,S216,01,4.2,4,2.5,0.9279411764705883,NA,NA
96677,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,5.2,11.0333,AnPhA,S216,01,4.2,4.333333333333333,4,0.19117647058823528,NA,NA
96680,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,52.5504,1776.5166,AnPhA,S216,01,3.8,3.6666666666666665,2.5,0.6882352941176471,NA,NA
96690,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,64.8128,1969.5003,AnPhA,S216,01,5,5,5,0.7102352941176471,NA,NA
96720,AnPhA-S216-01,F,Learning Preference of the Student,Approved/Enrolled,7.88,68.1167,AnPhA,S216,01,3.6,4.333333333333333,3,0.36617647058823527,NA,NA
96853,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,85.4277328,2521.2334,AnPhA,S216,01,4.8,5,5,0.9022941176470587,NA,NA
96854,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,85.1189328,2563.3833,AnPhA,S216,01,5,4.333333333333333,5,0.9250588235294117,NA,NA
96959,AnPhA-S216-01,M,Course Unavailable at Local School,Approved/Enrolled,67.6608,1727.2666,AnPhA,S216,01,4.6,4.333333333333333,4,0.7875294117647058,NA,NA
96994,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,86.8074672,2676.7501,AnPhA,S216,01,5,5,4.5,0.9529411764705882,NA,NA
74552,AnPhA-S216-02,F,Other,Approved/Enrolled,96.16,6123.8832,AnPhA,S216,02,4,4.333333333333333,3.5,0.9911764705882353,NA,NA
88979,AnPhA-S216-02,F,Scheduling Conflict,Dropped,NA,364.5001,AnPhA,S216,02,5,5,5,0.46176470588235297,NA,NA
91164,AnPhA-S216-02,F,Course Unavailable at Local School,Approved/Enrolled,90.0016,4359.0996,AnPhA,S216,02,5,5,4.5,0.8868235294117647,NA,NA
94219,AnPhA-S216-02,F,Learning Preference of the Student,Dropped,NA,151.75,AnPhA,S216,02,4.6,4.333333333333333,3.5,0.14529411764705882,NA,NA
94542,AnPhA-S216-02,F,Other,Approved/Enrolled,33.28,1558.5331,AnPhA,S216,02,4.8,4.333333333333333,3.5,0.8911764705882353,NA,NA
94550,AnPhA-S216-02,F,Other,Approved/Enrolled,85.3408,2856.6166,AnPhA,S216,02,5,5,4,0.9522352941176471,NA,NA
94898,AnPhA-S216-02,F,Other,Approved/Enrolled,73.6608,1904.1662,AnPhA,S216,02,5,5,4.5,0.9279411764705883,NA,NA
94903,AnPhA-S216-02,F,Course Unavailable at Local School,Approved/Enrolled,69.8808,2288.5835,AnPhA,S216,02,4.4,4.333333333333333,3.5,0.7227941176470588,NA,NA
95017,AnPhA-S216-02,F,Other,Approved/Enrolled,71.52,2773.6164,AnPhA,S216,02,5,3.6666666666666665,4,0.9941176470588236,NA,NA
95041,AnPhA-S216-02,F,Other,Approved/Enrolled,14.5408,322.9502,AnPhA,S216,02,5,5,3.5,0.4669411764705882,NA,NA
95264,AnPhA-S216-02,M,Learning Preference of the Student,Dropped,NA,237.3,AnPhA,S216,02,3.8,3.6666666666666665,2.5,0.20588235294117646,NA,NA
